Event ID,city,latitude,longitude
553,Homs,34.717704,36.722823
554,Tuq al-Milh,36.950128,42.146324
555,Gata,7.849859,124.339668
556,Baghlani Jadid district,36.332449,68.765566
557,Baghlani Jadid district,36.297823,68.686597
558,Baghlani Jadid district,36.297823,68.686597
559,Temuco,-38.735902,-72.590374
560,Deir ez-Zor,35.333062,40.138737
561,Aylsham,52.796163,1.254633
562,Hub,25.044536,66.874676
563,Ouagadougou,12.37368,-1.53698
564,Deir ez-Zor,35.333062,40.138737
565,Bughailiyeh,35.386971,40.088795
566,Ayyash,35.421019,40.051687
567,Deir ez-Zor,35.333062,40.138737
568,Deir ez-Zor,35.333062,40.138737
569,Deir ez-Zor,35.333062,40.138737
570,Deir ez-Zor,35.333062,40.138737
571,Deir ez-Zor,35.333062,40.138737
572,Deir ez-Zor,35.333062,40.138737
573,Deir ez-Zor,35.333062,40.138737
574,Deir ez-Zor,35.333062,40.138737
575,Aleppo,36.201721,37.143521
576,Aleppo,36.201721,37.143521
577,Aleppo,36.201721,37.143521
578,Unknown,31.853462,22.534731
579,Unknown,30.144287,16.786492
580,Unknown,30.144287,16.786492
581,Adam Khan,31.81468,64.548236
582,Rahim,31.825517,64.594865
583,Sarchi,31.645562,66.544168
584,Gordzad,36.183875,64.875044
585,Unknown,16.225015,13.289759
586,Norzagaray,14.812377,121.046346
587,Karachi,24.891116,67.143312
588,Baghdad,33.303567,44.371771
589,Minanga,16.878563,122.129079
590,Swabi district,34.1174,72.469659
591,Unknown,37.924973,40.210983
592,Jolo,6.050459,121.012242
593,Payyanur,12.110784,75.210315
594,Payyanur,12.10497,75.205696
595,Landi Kotal,34.110324,71.163807
596,Warri South district,5.517021,5.750006
597,Morales district,8.271877,-73.873991
598,Cabangcalan,11.868264,123.914873
599,Musa Qala district,32.456072,64.740062
600,Sangin district,32.140817,65.021475
601,Baghdad,33.303567,44.371771
602,Baghdad,33.303567,44.371771
603,Drogheda,53.716085,-6.350156
604,Likooni,3.036667,41.867222
605,Marinka,47.942286,37.50403
606,Veena,26.283863,86.822229
607,Maywand district,31.499713,65.000854
608,Unknown,4.606195,7.211714
609,Unknown,31.853462,22.534731
610,Kabpangi,6.964911,124.453883
611,Benghazi,32.069287,20.151145
612,Sui,28.633307,69.190371
613,Quetta,30.20082,66.994352
614,Jalalabad,34.41712,70.449594
615,Kabul,34.516895,69.147014
616,Aden,12.849085,45.037275
617,Sanaa,15.325444,44.211895
618,Unknown,14.358866,45.449807
619,Sanaa,15.325444,44.211895
620,Unknown,15.274008,43.142265
621,Unknown,15.511777,45.402452
622,Sangar,32.640881,65.468183
623,Otniel,31.439873,35.028966
624,Nablus,32.222272,35.253507
625,Idil,37.3402,41.8934
626,Diyarbakir,37.922216,40.184377
627,Baghdad,33.303567,44.371771
628,Mahmudiyah,33.057992,44.354838
629,Baghdad,33.303567,44.371771
630,Idil,37.3402,41.8934
631,Cizre,37.333598,42.183614
632,Sur district,38.064584,40.381766
633,Sur district,38.064584,40.381766
634,Mogadishu,2.059818,45.326114
635,As Salam,34.821555,43.041724
636,Baugan,,
637,Zalingei,12.915491,23.478284
638,Arish,31.126646,33.800864
639,Giza,30.022924,31.185193
640,Baghdad,33.303567,44.371771
641,Jamliya,33.773349,45.14945
642,Albu Ghanim,33.453312,43.372254
643,Bachuvaripalem,15.755863,80.314431
644,Boras,57.721185,12.939799
645,New Raghzai,33.13437,70.734071
646,Dera Ismail Khan,31.834327,70.909047
647,Karachi,24.891116,67.143312
648,Awdheegle,1.978939,44.83206
649,Manpur,21.186333,82.298903
